Competition;Category;Level;Course Title RU;Course Title KK;Course Title EN;Lesson Code;Lesson Title RU;Lesson Title KK;Lesson Title EN;Presentation URL RU;Presentation URL KK;Video URL RU;Video URL KK;Order
FLL;robot-design;Beginner;Робот-дизайн: Beginner;Робот-дизайн: Бастауыш;Robot Design: Beginner;RD-B01;Знакомство с SPIKE PRIME;SPIKE PRIME-мен танысу;Introduction to SPIKE PRIME;https://docs.google.com/presentation/d/1lQEwjkeX7zSEk4TM3eiSqJqri_Fmlkd8/edit?usp=sharing&ouid=109674372095175490244&rtpof=true&sd=true;https://docs.google.com/presentation/d/1lQEwjkeX7zSEk4TM3eiSqJqri_Fmlkd8/edit;https://youtu.be/qgMmg71g38I;https://youtu.be/LNh2RfLjByI;1
FLL;robot-design;Beginner;Робот-дизайн: Beginner;Робот-дизайн: Бастауыш;Robot Design: Beginner;RD-B02;Набор SPIKE Prime: моторы и датчики;SPIKE Prime жиыны: моторлар мен сенсорлар;SPIKE Prime Kit: Motors & Sensors;https://docs.google.com/presentation/d/1-pLGJSPyI0iw5sRcnGmkcYJ_oOG-aYug/edit?usp=sharing&ouid=109674372095175490244&rtpof=true&sd=true;https://docs.google.com/presentation/d/1m7cpSXgnZKZsA4ogmw3BJRtq8EVU7hDY/edit;;;2
FLL;robot-design;Beginner;Робот-дизайн: Beginner;Робот-дизайн: Бастауыш;Robot Design: Beginner;RD-B03;Требования к базе робота;Робот базасына қойылатын талаптар;Robot Base Requirements;https://docs.google.com/presentation/d/1ZryVO12Uhf-PZ7MCl4hfHiZgjLJ1kUpQ/edit?usp=sharing&ouid=109674372095175490244&rtpof=true&sd=true;https://docs.google.com/presentation/d/1Ja_sSg47XUBdeAG98e72UVtbkdNwrz0j/edit;https://youtu.be/9JCiSarPcbM;https://youtu.be/82pWbgvxiUI;3
FLL;robot-design;Beginner;Робот-дизайн: Beginner;Робот-дизайн: Бастауыш;Robot Design: Beginner;RD-B04;Первая база;Бірінші база;Your First base;https://docs.google.com/presentation/d/1Wx1yJR9PX1pXbbQPCrVh5EyiysLXSN6_/edit?usp=sharing&ouid=109674372095175490244&rtpof=true&sd=true;https://docs.google.com/presentation/d/1giL5CzWb38I2nSlHIBhoX2aYIrw_n8xS/edit;https://youtu.be/VjfBVnr0Jsc;https://youtu.be/_lc2xSWQEgc;4
FLL;robot-design;Beginner;Робот-дизайн: Beginner;Робот-дизайн: Бастауыш;Robot Design: Beginner;RD-B05;Mission Strategy: выбор миссий;Mission Strategy: миссияларды таңдау;Mission Strategy: Choosing Missions;https://docs.google.com/presentation/d/1OZ5AE6LfwYfhuqbLLznVuZF9dxiSYov1/edit?usp=sharing&ouid=109674372095175490244&rtpof=true&sd=true;https://docs.google.com/presentation/d/1mDk9IN2N1ovyI7AqN8sS_DeBxJ1gXL2u/edit;https://youtu.be/VvWqK8KzC4g;https://youtu.be/bKliKbzVDWg;5
FLL;robot-design;Beginner;Робот-дизайн: Beginner;Робот-дизайн: Бастауыш;Robot Design: Beginner;RD-B06;Виды аттачментов ;Аттачменттердін түрлері;Attachment Types;https://docs.google.com/presentation/d/1pwAWRczoEFAMXltILEunheKi0AFGfD08/edit?usp=sharing&ouid=109674372095175490244&rtpof=true&sd=true;https://docs.google.com/presentation/d/18GIGfRQTqTtIE1CBgR-p37OtMltGS1ta/edit;https://youtu.be/eKbhdTVMQq0;https://youtu.be/nCN3IwNFr4Y;6
FLL;robot-design;Beginner;Робот-дизайн: Beginner;Робот-дизайн: Бастауыш;Robot Design: Beginner;RD-B07;Тестирование и итерации;Тестілеу және итерациялар;Testing & Iteration;https://docs.google.com/presentation/d/1vvCUjn5dp9fkLf0d_6ZzZKCO4Dr2lVv0/edit?usp=sharing&ouid=109674372095175490244&rtpof=true&sd=true;https://docs.google.com/presentation/d/12pO51bqzU6lL0Oox0Fmn0J5aUYL5G3bx/edit;https://youtu.be/r1cuhH0jH8Q;https://youtu.be/cLBaR9yUBuU;7
FLL;robot-design;Beginner;Робот-дизайн: Beginner;Робот-дизайн: Бастауыш;Robot Design: Beginner;RD-B08;Введение в программирование;Программаға кіріспе;Intro to programming;https://docs.google.com/presentation/d/1ehAgPbmvvLZ3KELFnuGza3O_5eH780eb/edit?usp=sharing&ouid=109674372095175490244&rtpof=true&sd=true;https://docs.google.com/presentation/d/1MFqpff0ns97IA2aCemye7C3Nr3LsjV0y/edit;https://youtu.be/RwJeINbfHH8;https://youtu.be/1AW7NciKpyA;8
FLL;innovation;Beginner;Инновационный проект: Beginner;Инновациялық жоба: Бастауыш;Innovation Project: Beginner;IP-B01;Знакомство с Innovation Project;Innovation Project-пен танысу;Introduction to Innovation Project;https://docs.google.com/presentation/d/1wyGXECxTYh3pe0jd_x2aIwerd0N43S4I/edit;https://docs.google.com/presentation/d/1wyGXECxTYh3pe0jd_x2aIwerd0N43S4I/edit;https://youtu.be/ZObhO96uqSs;https://youtu.be/gVF3Ngj2bno;1
FLL;innovation;Beginner;Инновационный проект: Beginner;Инновациялық жоба: Бастауыш;Innovation Project: Beginner;IP-B02;Тема SUBMERGED: поиск проблем;SUBMERGED тақырыбы: мәселе іздеу;SUBMERGED Theme: Finding Problems;https://docs.google.com/presentation/d/1pToYZXX3yJTZz9gU7j-VK7fmqPw4XyTp/edit?usp=sharing&ouid=109674372095175490244&rtpof=true&sd=true;https://docs.google.com/presentation/d/1RgiBbMf4_WUWIOz8fqpGq9LAyj_C9jJS/edit;https://youtu.be/aE1Brug9v7w;https://youtu.be/qwOq5Rkis-o;2
